Фамилия;Имя, отчество;Login;Password;Role
Никифоров ;Всеволод Иванович;loginDEjrm2018;Cpb+Im;Клиент
Воронов ;Донат Никитевич;loginDEpxl2018;P6h4Jq;Администратор
Игнатьева ;Евгения Валентиновна;loginDEwgk2018;&mfI9l;Клиент
Буров ;Федот Егорович;loginDEpou2018;gX3f5Z;Администратор
Иван ;Семёновна;loginDEjwl2018;D4ZYHt;Менеджер
Денисов ;Дамир Филатович;loginDEabf2018;*Tasm+;Клиент
Ершов ;Максим Геласьевич;loginDEwjm2018;k}DJKo;Клиент
Копылов ;Куприян Пётрович;loginDEjvz2018;&|bGTy;Менеджер
Носов ;Валерьян Дмитрьевич;loginDEuyv2018;8hhrZ};Менеджер
Силин ;Игорь Авдеевич;loginDExdm2018;DH68L9;Администратор
Дроздова ;Александра Мартыновна;loginDEeiv2018;H*BxlS;Менеджер
Дроздов ;Аркадий Геласьевич;loginDEfuc2018;VuM+QT;Клиент
Боброва ;Варвара Евсеевна;loginDEoot2018;usi{aT;Менеджер
Чернова ;Агата Данииловна;loginDElhk2018;Okk0jY;Менеджер
Лыткина ;Ульяна Станиславовна;loginDEazg2018;s3bb|V;Клиент
